"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate
,"2008","2008","Oregon","41",4370,367156,1190.2
,"2008","2008","Pennsylvania","42",15866,1202808,1319.1
,"2008","2008","Rhode Island","44",1120,94948,1179.6
,"2008","2008","South Carolina","45",6449,454020,1420.4
,"2008","2008","South Dakota","46",822,69768,1178.2
,"2008","2008","Tennessee","47",9442,602862,1566.2
,"2008","2008","Texas","48",24840,1842945,1347.8
,"2008","2008","Utah","49",1724,169624,1016.4
,"2008","2008","Vermont","50",678,64133,1057.2
,"2008","2008","Virginia","51",8726,701885,1243.2
,"2008","2008","Washington","53",6682,587680,1137.0
,"2008","2008","West Virginia","54",3323,200629,1656.3
,"2008","2008","Wisconsin","55",5866,496798,1180.8
,"2008","2008","Wyoming","56",582,50507,1152.3
"Total","2008","2008",,,344924,26936842,1280.5
,"2009","2009","Alabama","01",7747,471537,1642.9
,"2009","2009","Alaska","02",620,55321,1120.7
,"2009","2009","Arizona","04",6731,608745,1105.7
,"2009","2009","Arkansas","05",4621,293043,1576.9
,"2009","2009","California","06",32033,3011189,1063.8
