"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"May, 1999"	"1999/05"	"Illinois"	"17"	8374	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Indiana"	"18"	4346	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Iowa"	"19"	2249	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Kansas"	"20"	1881	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Kentucky"	"21"	3102	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Louisiana"	"22"	3308	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Maine"	"23"	934	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Maryland"	"24"	3414	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Massachusetts"	"25"	4332	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Michigan"	"26"	6983	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Minnesota"	"27"	3047	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Mississippi"	"28"	2284	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Missouri"	"29"	4477	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Montana"	"30"	621	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Nebraska"	"31"	1287	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Nevada"	"32"	1213	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Hampshire"	"33"	761	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Jersey"	"34"	5909	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New Mexico"	"35"	1019	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"New York"	"36"	12506	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"North Carolina"	"37"	5468	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"North Dakota"	"38"	468	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Ohio"	"39"	8696	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Oklahoma"	"40"	2722	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Oregon"	"41"	2409	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Pennsylvania"	"42"	10247	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Rhode Island"	"44"	705	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"South Carolina"	"45"	2902	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"South Dakota"	"46"	523	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Tennessee"	"47"	4354	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Texas"	"48"	11764	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Utah"	"49"	957	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Vermont"	"50"	400	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Virginia"	"51"	4429	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Washington"	"53"	3628	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"West Virginia"	"54"	1691	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Wisconsin"	"55"	3717	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Wyoming"	"56"	330	Not Applicable	Not Applicable
"Total"	"May, 1999"	"1999/05"			189945	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Alabama"	"01"	3349	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Alaska"	"02"	196	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Arizona"	"04"	2974	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Arkansas"	"05"	2055	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"California"	"06"	17439	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Colorado"	"08"	2003	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Connecticut"	"09"	2150	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Delaware"	"10"	508	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"District of Columbia"	"11"	465	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Florida"	"12"	12363	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Georgia"	"13"	4554	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Hawaii"	"15"	644	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Idaho"	"16"	703	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Illinois"	"17"	8095	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Indiana"	"18"	4013	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Iowa"	"19"	2062	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Kansas"	"20"	1802	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Kentucky"	"21"	2852	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Louisiana"	"22"	3146	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Maine"	"23"	932	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Maryland"	"24"	3119	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Massachusetts"	"25"	4234	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Michigan"	"26"	6575	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Minnesota"	"27"	2764	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Mississippi"	"28"	2056	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Missouri"	"29"	4137	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Montana"	"30"	577	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Nebraska"	"31"	1136	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Nevada"	"32"	1210	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Hampshire"	"33"	675	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Jersey"	"34"	5379	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New Mexico"	"35"	1051	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"New York"	"36"	11900	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"North Carolina"	"37"	5056	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"North Dakota"	"38"	467	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Ohio"	"39"	8024	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Oklahoma"	"40"	2632	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Oregon"	"41"	2263	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Pennsylvania"	"42"	9544	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"Rhode Island"	"44"	742	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	"South Carolina"	"45"	2698	Not Applicable	Not Applicable
