"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2023 (provisional and partial)","2023","Iowa","19",1540,388374,396.5
,"2023 (provisional and partial)","2023","Kansas","20",1520,345827,439.5
,"2023 (provisional and partial)","2023","Kentucky","21",3744,588207,636.5
,"2023 (provisional and partial)","2023","Louisiana","22",3192,571554,558.5
,"2023 (provisional and partial)","2023","Maine","23",878,195597,448.9
,"2023 (provisional and partial)","2023","Maryland","24",3311,844356,392.1
,"2023 (provisional and partial)","2023","Massachusetts","25",3321,957314,346.9
,"2023 (provisional and partial)","2023","Michigan","26",5968,1338829,445.8
,"2023 (provisional and partial)","2023","Minnesota","27",2368,720752,328.5
,"2023 (provisional and partial)","2023","Mississippi","28",2408,372303,646.8
,"2023 (provisional and partial)","2023","Missouri","29",3819,778776,490.4
,"2023 (provisional and partial)","2023","Montana","30",562,131109,428.7
,"2023 (provisional and partial)","2023","Nebraska","31",859,227712,377.2
,"2023 (provisional and partial)","2023","Nevada","32",1759,402724,436.8
,"2023 (provisional and partial)","2023","New Hampshire","33",763,205300,371.7
,"2023 (provisional and partial)","2023","New Jersey","34",4417,1294110,341.3
,"2023 (provisional and partial)","2023","New Mexico","35",1377,250299,550.1
,"2023 (provisional and partial)","2023","New York","36",9567,2662544,359.3
,"2023 (provisional and partial)","2023","North Carolina","37",6935,1393302,497.7
,"2023 (provisional and partial)","2023","North Dakota","38",364,84114,432.7
,"2023 (provisional and partial)","2023","Ohio","39",7504,1528584,490.9
,"2023 (provisional and partial)","2023","Oklahoma","40",2899,469132,617.9
,"2023 (provisional and partial)","2023","Oregon","41",2221,518379,428.5
,"2023 (provisional and partial)","2023","Pennsylvania","42",7372,1729216,426.3
,"2023 (provisional and partial)","2023","Rhode Island","44",531,150079,353.8
,"2023 (provisional and partial)","2023","South Carolina","45",3898,676291,576.4
,"2023 (provisional and partial)","2023","South Dakota","46",422,103803,406.5
,"2023 (provisional and partial)","2023","Tennessee","47",5528,912813,605.6
,"2023 (provisional and partial)","2023","Texas","48",15157,3493712,433.8
,"2023 (provisional and partial)","2023","Utah","49",1110,322471,344.2
,"2023 (provisional and partial)","2023","Vermont","50",367,88111,416.5
,"2023 (provisional and partial)","2023","Virginia","51",4601,1136886,404.7
,"2023 (provisional and partial)","2023","Washington","53",3826,949502,402.9
,"2023 (provisional and partial)","2023","West Virginia","54",1702,237623,716.3
,"2023 (provisional and partial)","2023","Wisconsin","55",3087,780575,395.5
,"2023 (provisional and partial)","2023","Wyoming","56",317,67380,470.5
"Total","2023 (provisional and partial)","2023",,,184003,42474240,433.2
"Total",,,,,1603909,254601437,630.0
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Single-Year Ages: 50 years; 51 years; 52 years; 53 years; 54 years; 55 years; 56 years; 57 years; 58 years; 59 years"
"Group By: Year; Residence State"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Oct 19, 2023 4:43:26 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2021,"
"and from provisional data for years 2022-2023, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Oct 19, 2023 4:43:26"
"PM"
"---"
Caveats:
"1. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"2. The population figures for years 2021 and later are single-race estimates of the July 1 resident population, based on the"
"Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021"
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates"
"of the July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census"
"Bureau on July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from"
"the Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"3. Deaths occurring through October 07, 2023 as of October 15, 2023."
