"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2015"	"2015"	"Apr., 2015"	"2015/04"	8658	Not Applicable	Not Applicable
	"2015"	"2015"	"May, 2015"	"2015/05"	8968	Not Applicable	Not Applicable
	"2015"	"2015"	"Jun., 2015"	"2015/06"	8801	Not Applicable	Not Applicable
	"2015"	"2015"	"Jul., 2015"	"2015/07"	9006	Not Applicable	Not Applicable
	"2015"	"2015"	"Aug., 2015"	"2015/08"	8860	Not Applicable	Not Applicable
	"2015"	"2015"	"Sep., 2015"	"2015/09"	8550	Not Applicable	Not Applicable
	"2015"	"2015"	"Oct., 2015"	"2015/10"	8839	Not Applicable	Not Applicable
	"2015"	"2015"	"Nov., 2015"	"2015/11"	8531	Not Applicable	Not Applicable
	"2015"	"2015"	"Dec., 2015"	"2015/12"	8988	Not Applicable	Not Applicable
"Total"	"2015"	"2015"			106048	Not Applicable	Not Applicable
	"2016"	"2016"	"Jan., 2016"	"2016/01"	9209	Not Applicable	Not Applicable
	"2016"	"2016"	"Feb., 2016"	"2016/02"	8831	Not Applicable	Not Applicable
	"2016"	"2016"	"Mar., 2016"	"2016/03"	9563	Not Applicable	Not Applicable
	"2016"	"2016"	"Apr., 2016"	"2016/04"	8841	Not Applicable	Not Applicable
	"2016"	"2016"	"May, 2016"	"2016/05"	8810	Not Applicable	Not Applicable
	"2016"	"2016"	"Jun., 2016"	"2016/06"	8640	Not Applicable	Not Applicable
	"2016"	"2016"	"Jul., 2016"	"2016/07"	9223	Not Applicable	Not Applicable
	"2016"	"2016"	"Aug., 2016"	"2016/08"	9050	Not Applicable	Not Applicable
	"2016"	"2016"	"Sep., 2016"	"2016/09"	8740	Not Applicable	Not Applicable
	"2016"	"2016"	"Oct., 2016"	"2016/10"	9061	Not Applicable	Not Applicable
	"2016"	"2016"	"Nov., 2016"	"2016/11"	8816	Not Applicable	Not Applicable
	"2016"	"2016"	"Dec., 2016"	"2016/12"	9316	Not Applicable	Not Applicable
"Total"	"2016"	"2016"			108100	Not Applicable	Not Applicable
	"2017"	"2017"	"Jan., 2017"	"2017/01"	9621	Not Applicable	Not Applicable
	"2017"	"2017"	"Feb., 2017"	"2017/02"	8438	Not Applicable	Not Applicable
	"2017"	"2017"	"Mar., 2017"	"2017/03"	9317	Not Applicable	Not Applicable
	"2017"	"2017"	"Apr., 2017"	"2017/04"	8971	Not Applicable	Not Applicable
	"2017"	"2017"	"May, 2017"	"2017/05"	8884	Not Applicable	Not Applicable
	"2017"	"2017"	"Jun., 2017"	"2017/06"	8812	Not Applicable	Not Applicable
	"2017"	"2017"	"Jul., 2017"	"2017/07"	9175	Not Applicable	Not Applicable
	"2017"	"2017"	"Aug., 2017"	"2017/08"	9142	Not Applicable	Not Applicable
	"2017"	"2017"	"Sep., 2017"	"2017/09"	8950	Not Applicable	Not Applicable
	"2017"	"2017"	"Oct., 2017"	"2017/10"	8921	Not Applicable	Not Applicable
	"2017"	"2017"	"Nov., 2017"	"2017/11"	8815	Not Applicable	Not Applicable
	"2017"	"2017"	"Dec., 2017"	"2017/12"	9547	Not Applicable	Not Applicable
"Total"	"2017"	"2017"			108593	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	9792	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	8526	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	9226	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	8735	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	8910	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	8770	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	9066	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	9127	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	8744	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	8883	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	8676	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	9181	Not Applicable	Not Applicable
"Total"	"2018"	"2018"			107636	Not Applicable	Not Applicable
	"2019"	"2019"	"Jan., 2019"	"2019/01"	9308	Not Applicable	Not Applicable
	"2019"	"2019"	"Feb., 2019"	"2019/02"	8552	Not Applicable	Not Applicable
	"2019"	"2019"	"Mar., 2019"	"2019/03"	9266	Not Applicable	Not Applicable
	"2019"	"2019"	"Apr., 2019"	"2019/04"	8817	Not Applicable	Not Applicable
	"2019"	"2019"	"May, 2019"	"2019/05"	8969	Not Applicable	Not Applicable
	"2019"	"2019"	"Jun., 2019"	"2019/06"	8845	Not Applicable	Not Applicable
	"2019"	"2019"	"Jul., 2019"	"2019/07"	9171	Not Applicable	Not Applicable
	"2019"	"2019"	"Aug., 2019"	"2019/08"	8959	Not Applicable	Not Applicable
	"2019"	"2019"	"Sep., 2019"	"2019/09"	8765	Not Applicable	Not Applicable
	"2019"	"2019"	"Oct., 2019"	"2019/10"	8866	Not Applicable	Not Applicable
	"2019"	"2019"	"Nov., 2019"	"2019/11"	9086	Not Applicable	Not Applicable
	"2019"	"2019"	"Dec., 2019"	"2019/12"	9483	Not Applicable	Not Applicable
"Total"	"2019"	"2019"			108087	Not Applicable	Not Applicable
	"2020 "	"2020"	"Jan., 2020 "	"2020/01"	9743	Not Applicable	Not Applicable
	"2020 "	"2020"	"Feb., 2020 "	"2020/02"	8987	Not Applicable	Not Applicable
	"2020 "	"2020"	"Mar., 2020 "	"2020/03"	10034	Not Applicable	Not Applicable
	"2020 "	"2020"	"Apr., 2020 "	"2020/04"	11852	Not Applicable	Not Applicable
	"2020 "	"2020"	"May, 2020 "	"2020/05"	11622	Not Applicable	Not Applicable
	"2020 "	"2020"	"Jun., 2020 "	"2020/06"	10875	Not Applicable	Not Applicable
	"2020 "	"2020"	"Jul., 2020 "	"2020/07"	12275	Not Applicable	Not Applicable
	"2020 "	"2020"	"Aug., 2020 "	"2020/08"	11721	Not Applicable	Not Applicable
	"2020 "	"2020"	"Sep., 2020 "	"2020/09"	10650	Not Applicable	Not Applicable
	"2020 "	"2020"	"Oct., 2020 "	"2020/10"	10826	Not Applicable	Not Applicable
	"2020 "	"2020"	"Nov., 2020 "	"2020/11"	11209	Not Applicable	Not Applicable
	"2020 "	"2020"	"Dec., 2020 "	"2020/12"	13046	Not Applicable	Not Applicable
"Total"	"2020 "	"2020"			132840	Not Applicable	Not Applicable
"Total"					2632339	Not Applicable	Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
