"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2020 Week 37 ending September 12, 2020"	"2020/37"	58917	Not Applicable	Not Applicable
	"2020 Week 38 ending September 19, 2020"	"2020/38"	59005	Not Applicable	Not Applicable
	"2020 Week 39 ending September 26, 2020"	"2020/39"	59871	Not Applicable	Not Applicable
	"2020 Week 40 ending October 03, 2020"	"2020/40"	59095	Not Applicable	Not Applicable
	"2020 Week 41 ending October 10, 2020"	"2020/41"	61015	Not Applicable	Not Applicable
	"2020 Week 42 ending October 17, 2020"	"2020/42"	59936	Not Applicable	Not Applicable
	"2020 Week 43 ending October 24, 2020"	"2020/43"	61468	Not Applicable	Not Applicable
	"2020 Week 44 ending October 31, 2020"	"2020/44"	62661	Not Applicable	Not Applicable
	"2020 Week 45 ending November 07, 2020"	"2020/45"	66852	Not Applicable	Not Applicable
	"2020 Week 46 ending November 14, 2020"	"2020/46"	68077	Not Applicable	Not Applicable
	"2020 Week 47 ending November 21, 2020"	"2020/47"	70916	Not Applicable	Not Applicable
	"2020 Week 48 ending November 28, 2020"	"2020/48"	72552	Not Applicable	Not Applicable
	"2020 Week 49 ending December 05, 2020"	"2020/49"	76657	Not Applicable	Not Applicable
	"2020 Week 50 ending December 12, 2020"	"2020/50"	81178	Not Applicable	Not Applicable
	"2020 Week 51 ending December 19, 2020"	"2020/51"	82177	Not Applicable	Not Applicable
	"2020 Week 52 ending December 26, 2020"	"2020/52"	83599	Not Applicable	Not Applicable
	"2020 Week 53 ending January 02, 2021"	"2020/53"	86139	Not Applicable	Not Applicable
	"2020 Week Not Available"	"2020/99"	195	Not Applicable	Not Applicable
	"2021 Week 01 ending January 09, 2021"	"2021/01"	86199	Not Applicable	Not Applicable
	"2021 Week 02 ending January 16, 2021"	"2021/02"	86545	Not Applicable	Not Applicable
	"2021 Week 03 ending January 23, 2021"	"2021/03"	82896	Not Applicable	Not Applicable
	"2021 Week 04 ending January 30, 2021"	"2021/04"	78410	Not Applicable	Not Applicable
	"2021 Week 05 ending February 06, 2021"	"2021/05"	75701	Not Applicable	Not Applicable
	"2021 Week 06 ending February 13, 2021"	"2021/06"	70738	Not Applicable	Not Applicable
	"2021 Week 07 ending February 20, 2021"	"2021/07"	68801	Not Applicable	Not Applicable
	"2021 Week 08 ending February 27, 2021"	"2021/08"	65991	Not Applicable	Not Applicable
	"2021 Week 09 ending March 06, 2021"	"2021/09"	62926	Not Applicable	Not Applicable
	"2021 Week 10 ending March 13, 2021"	"2021/10"	61121	Not Applicable	Not Applicable
	"2021 Week 11 ending March 20, 2021"	"2021/11"	59563	Not Applicable	Not Applicable
	"2021 Week 12 ending March 27, 2021"	"2021/12"	60104	Not Applicable	Not Applicable
	"2021 Week 13 ending April 03, 2021"	"2021/13"	57943	Not Applicable	Not Applicable
	"2021 Week 14 ending April 10, 2021"	"2021/14"	60218	Not Applicable	Not Applicable
	"2021 Week 15 ending April 17, 2021"	"2021/15"	58365	Not Applicable	Not Applicable
	"2021 Week 16 ending April 24, 2021"	"2021/16"	59502	Not Applicable	Not Applicable
	"2021 Week 17 ending May 01, 2021"	"2021/17"	59032	Not Applicable	Not Applicable
	"2021 Week 18 ending May 08, 2021"	"2021/18"	58204	Not Applicable	Not Applicable
	"2021 Week 19 ending May 15, 2021"	"2021/19"	57688	Not Applicable	Not Applicable
	"2021 Week 20 ending May 22, 2021"	"2021/20"	58021	Not Applicable	Not Applicable
	"2021 Week 21 ending May 29, 2021"	"2021/21"	56512	Not Applicable	Not Applicable
