"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2023 Week 10 ending March 11, 2023 (provisional)","2023/10",836,Not Applicable,Not Applicable
,"2023 Week 11 ending March 18, 2023 (provisional)","2023/11",828,Not Applicable,Not Applicable
,"2023 Week 12 ending March 25, 2023 (provisional)","2023/12",824,Not Applicable,Not Applicable
,"2023 Week 13 ending April 01, 2023 (provisional)","2023/13",787,Not Applicable,Not Applicable
,"2023 Week 14 ending April 08, 2023 (provisional)","2023/14",816,Not Applicable,Not Applicable
,"2023 Week 15 ending April 15, 2023 (provisional)","2023/15",796,Not Applicable,Not Applicable
,"2023 Week 16 ending April 22, 2023 (provisional)","2023/16",844,Not Applicable,Not Applicable
,"2023 Week 17 ending April 29, 2023 (provisional)","2023/17",815,Not Applicable,Not Applicable
,"2023 Week 18 ending May 06, 2023 (provisional)","2023/18",829,Not Applicable,Not Applicable
,"2023 Week 19 ending May 13, 2023 (provisional)","2023/19",826,Not Applicable,Not Applicable
,"2023 Week 20 ending May 20, 2023 (provisional)","2023/20",804,Not Applicable,Not Applicable
,"2023 Week 21 ending May 27, 2023 (provisional)","2023/21",809,Not Applicable,Not Applicable
,"2023 Week 22 ending June 03, 2023 (provisional)","2023/22",872,Not Applicable,Not Applicable
,"2023 Week 23 ending June 10, 2023 (provisional)","2023/23",823,Not Applicable,Not Applicable
,"2023 Week 24 ending June 17, 2023 (provisional)","2023/24",830,Not Applicable,Not Applicable
,"2023 Week 25 ending June 24, 2023 (provisional)","2023/25",854,Not Applicable,Not Applicable
,"2023 Week 26 ending July 01, 2023 (provisional)","2023/26",807,Not Applicable,Not Applicable
,"2023 Week 27 ending July 08, 2023 (provisional)","2023/27",826,Not Applicable,Not Applicable
,"2023 Week 28 ending July 15, 2023 (provisional)","2023/28",831,Not Applicable,Not Applicable
,"2023 Week 29 ending July 22, 2023 (provisional)","2023/29",800,Not Applicable,Not Applicable
,"2023 Week 30 ending July 29, 2023 (provisional)","2023/30",719,Not Applicable,Not Applicable
,"2023 Week 31 ending August 05, 2023 (provisional)","2023/31",785,Not Applicable,Not Applicable
,"2023 Week 32 ending August 12, 2023 (provisional)","2023/32",813,Not Applicable,Not Applicable
,"2023 Week 33 ending August 19, 2023 (provisional)","2023/33",725,Not Applicable,Not Applicable
,"2023 Week 34 ending August 26, 2023 (provisional)","2023/34",755,Not Applicable,Not Applicable
,"2023 Week 35 ending September 02, 2023 (provisional)","2023/35",688,Not Applicable,Not Applicable
,"2023 Week 36 ending September 09, 2023 (provisional)","2023/36",678,Not Applicable,Not Applicable
,"2023 Week 37 ending September 16, 2023 (provisional)","2023/37",586,Not Applicable,Not Applicable
,"2023 Week 38 ending September 23, 2023 (provisional)","2023/38",513,Not Applicable,Not Applicable
,"2023 Week 39 ending September 30, 2023 (provisional)","2023/39",344,Not Applicable,Not Applicable
,"2023 Week 40 ending October 07, 2023 (provisional)","2023/40",193,Not Applicable,Not Applicable
,"2023 Week Not Available (provisional)","2023/99",Suppressed,Not Applicable,Not Applicable
"Total",,,239828,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;"
"12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years"
"Group By: MMWR Week"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Oct 20, 2023 12:10:53 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2021,"
"and from provisional data for years 2022-2023, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Oct 20, 2023 12:10:53"
"AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
