"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"New Mexico"	"35"	2342	513962	455.7
	"2003"	"2003"	"New York"	"36"	21192	5285039	401.0
	"2003"	"2003"	"North Carolina"	"37"	11333	2323914	487.7
	"2003"	"2003"	"North Dakota"	"38"	627	174725	358.8
	"2003"	"2003"	"Ohio"	"39"	14553	3206861	453.8
	"2003"	"2003"	"Oklahoma"	"40"	5215	945353	551.6
	"2003"	"2003"	"Oregon"	"41"	4233	1016851	416.3
	"2003"	"2003"	"Pennsylvania"	"42"	15255	3513549	434.2
	"2003"	"2003"	"Rhode Island"	"44"	1190	299565	397.2
	"2003"	"2003"	"South Carolina"	"45"	6640	1150435	577.2
	"2003"	"2003"	"South Dakota"	"46"	843	205572	410.1
	"2003"	"2003"	"Tennessee"	"47"	9406	1635641	575.1
	"2003"	"2003"	"Texas"	"48"	25440	5692631	446.9
	"2003"	"2003"	"Utah"	"49"	1812	514332	352.3
	"2003"	"2003"	"Vermont"	"50"	628	190801	329.1
	"2003"	"2003"	"Virginia"	"51"	8709	2113076	412.1
	"2003"	"2003"	"Washington"	"53"	6551	1757427	372.8
	"2003"	"2003"	"West Virginia"	"54"	2929	530731	551.9
	"2003"	"2003"	"Wisconsin"	"55"	5538	1543220	358.9
	"2003"	"2003"	"Wyoming"	"56"	654	149982	436.1
"Total"	"2003"	"2003"			351526	79524558	442.0
	"2004"	"2004"	"Alabama"	"01"	7674	1261006	608.6
	"2004"	"2004"	"Alaska"	"02"	760	200702	378.7
	"2004"	"2004"	"Arizona"	"04"	6402	1442282	443.9
	"2004"	"2004"	"Arkansas"	"05"	4234	741333	571.1
	"2004"	"2004"	"California"	"06"	36057	9476722	380.5
	"2004"	"2004"	"Colorado"	"08"	4601	1318651	348.9
	"2004"	"2004"	"Connecticut"	"09"	3555	1033865	343.9
	"2004"	"2004"	"Delaware"	"10"	1070	232511	460.2
	"2004"	"2004"	"District of Columbia"	"11"	1189	148346	801.5
	"2004"	"2004"	"Florida"	"12"	23182	4786598	484.3
	"2004"	"2004"	"Georgia"	"13"	12372	2390704	517.5
	"2004"	"2004"	"Hawaii"	"15"	1353	362712	373.0
	"2004"	"2004"	"Idaho"	"16"	1342	367612	365.1
	"2004"	"2004"	"Illinois"	"17"	14403	3436560	419.1
	"2004"	"2004"	"Indiana"	"18"	7662	1725117	444.1
	"2004"	"2004"	"Iowa"	"19"	2870	816251	351.6
	"2004"	"2004"	"Kansas"	"20"	3059	748180	408.9
	"2004"	"2004"	"Kentucky"	"21"	6177	1173554	526.3
	"2004"	"2004"	"Louisiana"	"22"	7407	1242390	596.2
	"2004"	"2004"	"Maine"	"23"	1495	407773	366.6
	"2004"	"2004"	"Maryland"	"24"	7225	1631984	442.7
	"2004"	"2004"	"Massachusetts"	"25"	6626	1845472	359.0
	"2004"	"2004"	"Michigan"	"26"	12644	2855937	442.7
	"2004"	"2004"	"Minnesota"	"27"	4429	1447498	306.0
	"2004"	"2004"	"Mississippi"	"28"	4932	769787	640.7
	"2004"	"2004"	"Missouri"	"29"	7431	1600586	464.3
