"Notes","MMWR Week","MMWR Week Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018 Week 04 ending January 27, 2018","2018/04","Wisconsin","55",1167,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Wyoming","56",101,Not Applicable,Not Applicable
"Total","2018 Week 04 ending January 27, 2018","2018/04",,,62247,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Alabama","01",1159,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Alaska","02",82,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Arizona","04",1319,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Arkansas","05",668,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","California","06",5886,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Colorado","08",832,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Connecticut","09",649,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Delaware","10",172,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","District of Columbia","11",100,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Florida","12",4533,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Georgia","13",1887,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Hawaii","15",245,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Idaho","16",294,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Illinois","17",2224,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Indiana","18",1441,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Iowa","19",604,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Kansas","20",579,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Kentucky","21",1039,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Louisiana","22",997,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Maine","23",310,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Maryland","24",1020,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Massachusetts","25",1248,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Michigan","26",2051,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Minnesota","27",938,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Mississippi","28",655,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Missouri","29",1363,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Montana","30",191,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Nebraska","31",337,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Nevada","32",499,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","New Hampshire","33",284,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","New Jersey","34",1579,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","New Mexico","35",386,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","New York","36",3346,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","North Carolina","37",2054,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","North Dakota","38",141,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Ohio","39",2549,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Oklahoma","40",963,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Oregon","41",704,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Pennsylvania","42",2881,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Rhode Island","44",205,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","South Carolina","45",1163,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","South Dakota","46",147,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Tennessee","47",1513,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Texas","48",4452,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Utah","49",353,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Vermont","50",106,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Virginia","51",1464,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Washington","53",1152,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","West Virginia","54",494,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Wisconsin","55",1101,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05","Wyoming","56",111,Not Applicable,Not Applicable
"Total","2018 Week 05 ending February 03, 2018","2018/05",,,60470,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Alabama","01",1190,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Alaska","02",65,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Arizona","04",1244,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Arkansas","05",681,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","California","06",5495,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Colorado","08",795,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Connecticut","09",672,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Delaware","10",186,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","District of Columbia","11",120,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Florida","12",4490,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Georgia","13",1911,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Hawaii","15",199,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Idaho","16",287,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Illinois","17",2308,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Indiana","18",1454,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Iowa","19",657,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Kansas","20",569,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Kentucky","21",1031,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Louisiana","22",1022,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Maine","23",306,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06","Maryland","24",1061,Not Applicable,Not Applicable
