"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2021 Week 44 ending November 06, 2021","2021/44",66219,Not Applicable,Not Applicable
,"2021 Week 45 ending November 13, 2021","2021/45",67049,Not Applicable,Not Applicable
,"2021 Week 46 ending November 20, 2021","2021/46",66558,Not Applicable,Not Applicable
,"2021 Week 47 ending November 27, 2021","2021/47",67578,Not Applicable,Not Applicable
,"2021 Week 48 ending December 04, 2021","2021/48",69780,Not Applicable,Not Applicable
,"2021 Week 49 ending December 11, 2021","2021/49",71732,Not Applicable,Not Applicable
,"2021 Week 50 ending December 18, 2021","2021/50",70925,Not Applicable,Not Applicable
,"2021 Week 51 ending December 25, 2021","2021/51",71917,Not Applicable,Not Applicable
,"2021 Week 52 ending January 01, 2022","2021/52",73980,Not Applicable,Not Applicable
,"2021 Week Not Available","2021/99",262,Not Applicable,Not Applicable
,"2022 Week 01 ending January 08, 2022 (provisional)","2022/01",79442,Not Applicable,Not Applicable
,"2022 Week 02 ending January 15, 2022 (provisional)","2022/02",84716,Not Applicable,Not Applicable
,"2022 Week 03 ending January 22, 2022 (provisional)","2022/03",85273,Not Applicable,Not Applicable
,"2022 Week 04 ending January 29, 2022 (provisional)","2022/04",84706,Not Applicable,Not Applicable
,"2022 Week 05 ending February 05, 2022 (provisional)","2022/05",80945,Not Applicable,Not Applicable
,"2022 Week 06 ending February 12, 2022 (provisional)","2022/06",76886,Not Applicable,Not Applicable
,"2022 Week 07 ending February 19, 2022 (provisional)","2022/07",70633,Not Applicable,Not Applicable
,"2022 Week 08 ending February 26, 2022 (provisional)","2022/08",65815,Not Applicable,Not Applicable
,"2022 Week 09 ending March 05, 2022 (provisional)","2022/09",64150,Not Applicable,Not Applicable
,"2022 Week 10 ending March 12, 2022 (provisional)","2022/10",61561,Not Applicable,Not Applicable
,"2022 Week 11 ending March 19, 2022 (provisional)","2022/11",60283,Not Applicable,Not Applicable
,"2022 Week 12 ending March 26, 2022 (provisional)","2022/12",58248,Not Applicable,Not Applicable
,"2022 Week 13 ending April 02, 2022 (provisional)","2022/13",57774,Not Applicable,Not Applicable
,"2022 Week 14 ending April 09, 2022 (provisional)","2022/14",57560,Not Applicable,Not Applicable
,"2022 Week 15 ending April 16, 2022 (provisional)","2022/15",57546,Not Applicable,Not Applicable
,"2022 Week 16 ending April 23, 2022 (provisional)","2022/16",56424,Not Applicable,Not Applicable
,"2022 Week 17 ending April 30, 2022 (provisional)","2022/17",57036,Not Applicable,Not Applicable
,"2022 Week 18 ending May 07, 2022 (provisional)","2022/18",57199,Not Applicable,Not Applicable
,"2022 Week 19 ending May 14, 2022 (provisional)","2022/19",57598,Not Applicable,Not Applicable
,"2022 Week 20 ending May 21, 2022 (provisional)","2022/20",57337,Not Applicable,Not Applicable
,"2022 Week 21 ending May 28, 2022 (provisional)","2022/21",56785,Not Applicable,Not Applicable
,"2022 Week 22 ending June 04, 2022 (provisional)","2022/22",57255,Not Applicable,Not Applicable
,"2022 Week 23 ending June 11, 2022 (provisional)","2022/23",57748,Not Applicable,Not Applicable
,"2022 Week 24 ending June 18, 2022 (provisional)","2022/24",57459,Not Applicable,Not Applicable
,"2022 Week 25 ending June 25, 2022 (provisional)","2022/25",57964,Not Applicable,Not Applicable
,"2022 Week 26 ending July 02, 2022 (provisional)","2022/26",57758,Not Applicable,Not Applicable
,"2022 Week 27 ending July 09, 2022 (provisional)","2022/27",57818,Not Applicable,Not Applicable
,"2022 Week 28 ending July 16, 2022 (provisional)","2022/28",58146,Not Applicable,Not Applicable
,"2022 Week 29 ending July 23, 2022 (provisional)","2022/29",59474,Not Applicable,Not Applicable
,"2022 Week 30 ending July 30, 2022 (provisional)","2022/30",58500,Not Applicable,Not Applicable
,"2022 Week 31 ending August 06, 2022 (provisional)","2022/31",58891,Not Applicable,Not Applicable
,"2022 Week 32 ending August 13, 2022 (provisional)","2022/32",58264,Not Applicable,Not Applicable
,"2022 Week 33 ending August 20, 2022 (provisional)","2022/33",58145,Not Applicable,Not Applicable
,"2022 Week 34 ending August 27, 2022 (provisional)","2022/34",58008,Not Applicable,Not Applicable
,"2022 Week 35 ending September 03, 2022 (provisional)","2022/35",57821,Not Applicable,Not Applicable
,"2022 Week 36 ending September 10, 2022 (provisional)","2022/36",58442,Not Applicable,Not Applicable
,"2022 Week 37 ending September 17, 2022 (provisional)","2022/37",57940,Not Applicable,Not Applicable
,"2022 Week 38 ending September 24, 2022 (provisional)","2022/38",58462,Not Applicable,Not Applicable
,"2022 Week 39 ending October 01, 2022 (provisional)","2022/39",58260,Not Applicable,Not Applicable
,"2022 Week 40 ending October 08, 2022 (provisional)","2022/40",59325,Not Applicable,Not Applicable
,"2022 Week 41 ending October 15, 2022 (provisional)","2022/41",59453,Not Applicable,Not Applicable
,"2022 Week 42 ending October 22, 2022 (provisional)","2022/42",59806,Not Applicable,Not Applicable
,"2022 Week 43 ending October 29, 2022 (provisional)","2022/43",59734,Not Applicable,Not Applicable
